[2026-07-19 12:26:25,503 ] 22 root - INFO-Initate the data ingestion 
[2026-07-19 12:26:29,060 ] 65 root - INFO-Performed train test split on the dataframe
[2026-07-19 12:26:29,060 ] 67 root - INFO-Exited split_data_as_train_test method of Data_Ingestion class 
[2026-07-19 12:26:29,061 ] 72 root - INFO-Exporting train and test file path.
[2026-07-19 12:26:29,110 ] 80 root - INFO-Exported train and test file path .
[2026-07-19 12:26:29,111 ] 24 root - INFO-Data Initiation Completed
[2026-07-19 12:26:29,118 ] 30 root - INFO-initiate teh data Valadation
[2026-07-19 12:26:29,218 ] 36 root - INFO-Required number of columns:2
[2026-07-19 12:26:29,220 ] 37 root - INFO-Data frame has columns :31
[2026-07-19 12:26:29,220 ] 36 root - INFO-Required number of columns:2
[2026-07-19 12:26:29,220 ] 37 root - INFO-Data frame has columns :31
[2026-07-19 12:26:29,220 ] 51 root - INFO-Checking numerical columns ...
[2026-07-19 12:26:29,220 ] 57 root - INFO-All numerical columns are present 
[2026-07-19 12:26:29,221 ] 51 root - INFO-Checking numerical columns ...
[2026-07-19 12:26:29,221 ] 57 root - INFO-All numerical columns are present 
[2026-07-19 12:26:29,366 ] 32 root - INFO-data valadatiion completed
[2026-07-19 12:26:29,366 ] 36 root - INFO-data Transformation started 
[2026-07-19 12:26:29,366 ] 71 root - INFO-Entered initate_data_transformatin method of DataTranformation class
[2026-07-19 12:26:29,366 ] 73 root - INFO-Starting data transformation 
[2026-07-19 12:26:29,390 ] 53 root - INFO-Entered get_data_transformer_pbject method of Transformation class
[2026-07-19 12:26:29,390 ] 58 root - INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-07-19 12:26:29,455 ] 50 root - INFO-Entered the save_object method of MainUtils class
[2026-07-19 12:26:29,458 ] 54 root - INFO-Exited the save_object method of MainUtils class
[2026-07-19 12:26:29,458 ] 50 root - INFO-Entered the save_object method of MainUtils class
[2026-07-19 12:26:29,462 ] 54 root - INFO-Exited the save_object method of MainUtils class
[2026-07-19 12:26:29,463 ] 41 root - INFO-data transformation created
[2026-07-19 12:26:29,464 ] 45 root - INFO-Model Training Started
[2026-07-19 12:29:57,408 ] 50 root - INFO-Entered the save_object method of MainUtils class
[2026-07-19 12:29:57,454 ] 54 root - INFO-Exited the save_object method of MainUtils class
[2026-07-19 12:29:57,454 ] 50 root - INFO-Entered the save_object method of MainUtils class
[2026-07-19 12:29:57,490 ] 54 root - INFO-Exited the save_object method of MainUtils class
[2026-07-19 12:29:57,490 ] 132 root - INFO-Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_19_2026_12_26_21\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911863033127343, precision_score=0.9920908537821943, recall_score=0.9902834008097166), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9791411042944785, precision_score=0.9747557003257329, recall_score=0.9835661462612982))
[2026-07-19 12:29:57,494 ] 50 root - INFO-Model Training artifacgt crreated
